Site,Code,Annee,Metrique,Valeur_EUR_t
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2023,[R0100-EW-109] Tonnes entrantes,41329.88
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2024,[R0100-EW-109] Tonnes entrantes,51163.26
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2025,[R0100-EW-109] Tonnes entrantes,52376.86
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2023,[R0100-EW-109] Tonnes entrantes,38519.89
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2024,[R0100-EW-109] Tonnes entrantes,39432.56
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2025,[R0100-EW-109] Tonnes entrantes,40227.57
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2023,[R0100-EW-109] Tonnes entrantes,32575.32
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2024,[R0100-EW-109] Tonnes entrantes,33471.07
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2025,[R0100-EW-109] Tonnes entrantes,34496.79
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2023,[R0100-EW-109] Tonnes entrantes,32944.18
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2024,[R0100-EW-109] Tonnes entrantes,32110.7
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2025,[R0100-EW-109] Tonnes entrantes,33194.0
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2023,[R0100-EW-109] Tonnes entrantes,36322.86
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2024,[R0100-EW-109] Tonnes entrantes,40915.66
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2025,[R0100-EW-109] Tonnes entrantes,41520.76
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2023,[R0100-EW-109] Tonnes entrantes,16952.92
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2024,[R0100-EW-109] Tonnes entrantes,18424.18
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2025,[R0100-EW-109] Tonnes entrantes,19276.41
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2023,[R0100-EW-109] Tonnes entrantes,22693.15
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2024,[R0100-EW-109] Tonnes entrantes,22931.33
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2025,[R0100-EW-109] Tonnes entrantes,23491.77
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2023,[R0100-EW-109] Tonnes entrantes,36751.33
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2024,[R0100-EW-109] Tonnes entrantes,36711.83
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2025,[R0100-EW-109] Tonnes entrantes,37799.43
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2023,[R0100-EW-109] Tonnes entrantes,30138.38
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2024,[R0100-EW-109] Tonnes entrantes,28881.5
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2025,[R0100-EW-109] Tonnes entrantes,30447.52
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2023,[R0100-EW-109] Tonnes entrantes,20895.65
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2024,[R0100-EW-109] Tonnes entrantes,21725.64
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2025,[R0100-EW-109] Tonnes entrantes,24454.78
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2023,[R0100-EW-109] Tonnes entrantes,51855.75
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2024,[R0100-EW-109] Tonnes entrantes,48331.5
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2025,[R0100-EW-109] Tonnes entrantes,58504.0
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2023,VE000001 - Chiffre d'affaires,189.58
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2024,VE000001 - Chiffre d'affaires,188.4
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2025,VE000001 - Chiffre d'affaires,192.11
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2023,VE000001 - Chiffre d'affaires,221.19
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2024,VE000001 - Chiffre d'affaires,208.8
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2025,VE000001 - Chiffre d'affaires,225.55
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2023,VE000001 - Chiffre d'affaires,259.92
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2024,VE000001 - Chiffre d'affaires,264.49
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2025,VE000001 - Chiffre d'affaires,267.03
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2023,VE000001 - Chiffre d'affaires,163.85
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2024,VE000001 - Chiffre d'affaires,182.83
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2025,VE000001 - Chiffre d'affaires,184.59
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2023,VE000001 - Chiffre d'affaires,248.06
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2024,VE000001 - Chiffre d'affaires,248.04
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2025,VE000001 - Chiffre d'affaires,247.88
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2023,VE000001 - Chiffre d'affaires,0.0
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2024,VE000001 - Chiffre d'affaires,270.26
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2025,VE000001 - Chiffre d'affaires,280.47
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2023,VE000001 - Chiffre d'affaires,81.63
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2024,VE000001 - Chiffre d'affaires,100.53
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2025,VE000001 - Chiffre d'affaires,92.38
